top - 21:38:13 up 2 days, 22:58,  1 user,  load average: 3.45, 14.30, 17.32
Tasks: 1175 total,   1 running, 1174 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.2 us,  0.6 sy,  0.0 ni, 99.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem : 511582.2 total, 507940.4 free,   1417.2 used,   2224.5 buff/cache
MiB Swap:   8192.0 total,   8192.0 free,      0.0 used. 507362.2 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    204 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/32
    205 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    206 root      rt   0       0      0      0 S   0.0   0.0   0:03.43 migrati+
    207 root      20   0       0      0      0 S   0.0   0.0   0:00.18 ksoftir+
    208 root      20   0       0      0      0 I   0.0   0.0   0:01.22 kworker+
    209 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    211 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/33
    212 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    213 root      rt   0       0      0      0 S   0.0   0.0   0:03.43 migrati+
    214 root      20   0       0      0      0 S   0.0   0.0   0:00.03 ksoftir+
    215 root      20   0       0      0      0 I   0.0   0.0   0:00.00 kworker+
    216 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    217 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/34
    218 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    219 root      rt   0       0      0      0 S   0.0   0.0   0:03.42 migrati+
    220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ksoftir+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    223 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/35
    224 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    225 root      rt   0       0      0      0 S   0.0   0.0   0:03.30 migrati+
    226 root      20   0       0      0      0 S   0.0   0.0   0:00.04 ksoftir+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
    229 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/36
    230 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
    231 root      rt   0       0      0      0 S   0.0   0.0   0:03.29 migrati+
